n_sl,xi_0_sl,xi_inf_sl,h_0_sl_sl,error
68.36420081148238,13578308.514337901,41591123.76303983,8778102383.08258,8074222560916347.0
29.939993663663145,15105781.389978196,30978878.260400668,179233631.99218273,3951124163466684.0
34.75129542164189,9963622.057349367,39161853.2590784,3780770296.728281,7139470320968412.0
72.31847607944869,10816334.271171937,39760183.237573765,9362221667.396965,7378054080393914.0
65.7579068260646,13235172.094935017,33535752.35706164,5676364175.216226,5247825620112115.0
64.61805234893596,11821034.569239467,47278890.599977136,2164656530.4252934,1.0330454040128084e+16
41.959332012289224,11096535.658414587,19293289.40288526,3323949683.6105294,1735882414006863.5
74.13325422710126,15901210.53747352,28435398.809910808,3037988066.2838564,3769442235026451.5
34.495643369848615,19557542.707123097,26112645.394676074,6115205271.832489,3176535568343541.0
62.570543258771075,14125452.328810038,25070390.765726067,6415083276.605887,2932459855860701.5
51.65693753141984,12588490.036251388,47363319.267449185,2629691597.4536295,1.0404294437260932e+16
76.46360385905089,13254739.069240145,38104075.62563204,3414552508.0889745,6762772007909535.0
29.330756669128185,18675292.47223885,21485473.521472715,9928645746.020103,2144513806980484.0
17.886226386867357,9180629.523321392,35003811.905145496,1745873820.7081184,5515967964618287.0
40.160187182222515,16091629.7696397,27590670.443803467,6918496232.159829,3550814191973602.5
38.295326552324966,6462320.226491887,40124568.41125154,5320934661.541415,7508241435534120.0
25.473644904038963,8612061.183683641,42369521.0950216,8620413220.397343,8317432272471394.0
31.46840388482794,13752871.40071791,46377970.44672211,1269150755.6087556,9810926082699434.0
67.42662042350624,16478697.482854301,44003569.30245158,6860636630.570818,9037446702733810.0
59.22271379191973,17949087.695572235,36500047.213253655,6312293673.3990555,6218095789020516.0
19.613392820351493,5108267.194926091,20796623.99935185,2889367091.987985,1973473521470452.8
32.36248982428812,14721916.713530872,22412215.399336956,5857133255.81526,2338048937928190.5
12.293745090118307,17213363.564625837,41029307.04816178,5943734978.252448,7213070306229024.0
35.98500361558891,8339546.891377019,35954849.41568248,1225389881.2265182,5929138951258092.0
79.26901131096638,6652218.699025023,43558190.75206067,7849823301.946498,8853881755111362.0
16.8419514535487,18847461.128236182,16450036.330548437,6688121619.248714,1210509402550926.5
49.35526957260717,19334585.234053593,20663982.115260262,7163747149.319548,1992049433034235.8
58.823407723930245,16927625.993075874,27228613.119773056,380247437.69513035,3353168493336119.5
43.342922572852146,11612830.738746084,49608412.90314287,2281702900.7953477,1.1375160350645942e+16
23.960643312644986,10453551.40560085,25549163.42485211,3948865318.6085587,3012540297449653.5
19.086160530819843,7705472.222338248,13903899.09206634,8966243082.28366,880431714064541.6
56.98808388674526,11279950.638891665,12712317.00670281,4505939271.058123,753708697816860.1
46.42544469066247,8023558.866885881,34225118.25610507,8023306249.353397,5467218766721286.0
37.75985660085896,7074446.567782734,18327554.736146957,3166893936.616518,1565622756516656.0
40.97681945968212,14944900.74806293,14810629.971819103,9066227257.603209,1022581781475792.0
50.301798562287814,6245581.241677129,36718418.21842532,7682377550.617453,6293586100189419.0
26.40060962983344,5901122.9437142145,43139569.02129848,7212170465.8847685,8634020473140341.0
24.395781207411115,6864733.086635978,45573688.71680506,2044648657.253161,9521114348876370.0
11.131476187092304,12135944.41139291,31507061.844649646,8461185471.88884,4172650672517578.5
44.095544084608925,9440595.964032333,32101394.97357029,3622997567.8624496,4805109638348332.0
21.894821411071476,16684695.372129086,17721953.823092878,2545181318.8715925,1440577969453002.0
45.56397912367657,18355390.93689756,48205738.717902824,4806962902.48958,1.0838144633442196e+16
27.8444409937361,12488847.788842455,48902814.49912904,9690137208.980545,1.1108098601624824e+16
55.84799136463332,8826455.888062308,14215048.337586356,7494659982.001457,942496701895080.1
12.92399305931984,9643594.091239149,17164217.116424117,8004078755.65946,1258837889880164.2
15.549545101922185,17410776.956487887,45012446.52882587,890806317.4990821,8849745947499826.0
20.79673605755715,10120442.100657204,11813597.002985809,8264117476.196756,637892204722546.5
66.93598564827347,5536413.770292595,10723400.408014,1461001451.9892945,536050798243745.1
54.682256957181586,17723532.09488754,33219800.835798606,637202249.2759733,5023504984717722.0
78.10143523092526,10514776.84989746,15593448.372022029,9199175326.416737,1133747745095585.8
53.52262371195106,19915105.612096146,37813962.38544656,4380364041.307617,6671552372821108.0
53.03590559314088,15323487.678434467,29566116.4488207,5433179295.241783,4079421270115775.0
77.01383600211884,15577832.22218201,29255615.323052406,1908583983.3922071,3980444121504396.0
71.7530539574528,19088793.114838373,30124914.67053045,5094752971.418465,4233820783331344.0
